Time,Temperature_C,Solar_W_m2,Wind_Speed_m_s,Price_CNY_kWh,Load_kW,Date,Day_Label,Day_Index
2023-01-01 00:00:00,-0.71,0.0,4.5,0.309,7941.34,2023-01-01,3,0
2023-01-01 01:00:00,-4.7,0.0,5.7,0.292,10106.18,2023-01-01,3,0
2023-01-01 02:00:00,-1.17,0.0,4.1,0.304,8624.47,2023-01-01,3,0
2023-01-01 03:00:00,-2.29,0.0,2.1,0.302,11653.89333,2023-01-01,3,0
2023-01-01 04:00:00,-4.21,0.0,9.8,0.3,13051.68667,2023-01-01,3,0
2023-01-01 05:00:00,-4.31,0.0,9.2,0.309,12267.12333,2023-01-01,3,0
2023-01-01 06:00:00,0.22,0.0,6.6,0.29,8865.906667,2023-01-01,3,0
2023-01-01 07:00:00,2.91,309.71,7.0,0.645,7592.153333,2023-01-01,3,0
2023-01-01 08:00:00,-0.74,601.42,5.3,0.643,9328.71,2023-01-01,3,0
2023-01-01 09:00:00,0.41,858.17,2.0,0.643,10857.09333,2023-01-01,3,0
2023-01-01 10:00:00,2.14,852.05,5.9,1.19,12343.96667,2023-01-01,3,0
2023-01-01 11:00:00,0.74,1210.04,5.0,1.208,17872.27,2023-01-01,3,0
2023-01-01 12:00:00,6.73,1027.76,4.1,1.203,18307.48,2023-01-01,3,0
2023-01-01 13:00:00,6.8,1284.71,9.6,1.198,17559.36,2023-01-01,3,0
2023-01-01 14:00:00,7.92,968.03,2.2,1.208,14936.72333,2023-01-01,3,0
2023-01-01 15:00:00,7.94,1065.06,4.8,0.641,14114.38333,2023-01-01,3,0
2023-01-01 16:00:00,4.72,171.63,3.7,0.652,11961.58333,2023-01-01,3,0
2023-01-01 17:00:00,5.63,601.42,6.5,0.652,9967.93,2023-01-01,3,0
2023-01-01 18:00:00,3.88,309.71,10.8,1.2,7495.31,2023-01-01,3,0
2023-01-01 19:00:00,5.11,0.0,4.0,1.199,9839.63,2023-01-01,3,0
2023-01-01 20:00:00,2.7,0.0,4.7,1.208,11057.54,2023-01-01,3,0
2023-01-01 21:00:00,-1.78,0.0,9.2,0.657,11484.17667,2023-01-01,3,0
2023-01-01 22:00:00,0.93,0.0,6.9,0.649,8346.09,2023-01-01,3,0
2023-01-01 23:00:00,1.08,0.0,11.2,0.292,8257.63,2023-01-01,3,0
