Time,Temperature_C,Solar_W_m2,Wind_Speed_m_s,Load_kW,Price_CNY_kWh
2024-01-01 00:00:00,-0.6,0.0,4.2,7782.772,0.306
2024-01-01 00:15:00,-0.2,0.0,4.7,8826.656,0.306
2024-01-01 00:30:00,-2.74,0.0,5.2,8953.414,0.298
2024-01-01 00:45:00,-3.6,0.0,5.5,9405.055,0.299
2024-01-01 01:00:00,-4.66,0.0,5.9,9959.946,0.29
2024-01-01 01:15:00,-3.85,0.0,5.0,9867.935,0.29
2024-01-01 01:30:00,-3.31,0.0,5.1,9311.178,0.299
2024-01-01 01:45:00,-1.3,0.0,4.6,8730.982,0.301
2024-01-01 02:00:00,-1.59,0.0,4.2,8524.633,0.306
2024-01-01 02:15:00,-0.67,0.0,3.7,9276.208,0.302
2024-01-01 02:30:00,-1.97,0.0,3.1,10108.019,0.3
2024-01-01 02:45:00,-1.48,0.0,2.7,10830.805,0.301
2024-01-01 03:00:00,-3.07,0.0,2.0,11805.156,0.298
2024-01-01 03:15:00,-3.27,0.0,4.2,12127.266,0.31
2024-01-01 03:30:00,-3.95,0.0,5.8,12670.996,0.298
2024-01-01 03:45:00,-4.59,0.0,8.0,12675.489,0.298
2024-01-01 04:00:00,-4.78,0.0,9.6,13044.863,0.298
2024-01-01 04:15:00,-4.39,0.0,9.8,12417.484,0.305
2024-01-01 04:30:00,-4.78,0.0,9.2,12508.006,0.31
2024-01-01 04:45:00,-4.87,0.0,9.3,12479.679,0.307
2024-01-01 05:00:00,-4.04,0.0,9.2,12000.668,0.306
2024-01-01 05:15:00,-2.73,0.0,8.6,11456.101,0.304
2024-01-01 05:30:00,-1.82,0.0,7.6,10513.213,0.303
2024-01-01 05:45:00,-0.42,0.0,7.0,9431.86,0.295
2024-01-01 06:00:00,-0.1,0.0,6.6,8765.505,0.29
2024-01-01 06:15:00,1.96,76.8,6.9,8827.04,0.379
2024-01-01 06:30:00,1.86,145.4,6.6,8285.233,0.46
2024-01-01 06:45:00,2.78,217.6,6.9,7880.1,0.567
2024-01-01 07:00:00,2.57,315.0,6.8,7495.171,0.645
2024-01-01 07:15:00,2.08,381.6,6.6,7936.132,0.636
2024-01-01 07:30:00,0.99,470.5,6.0,8469.25,0.634
2024-01-01 07:45:00,-0.42,539.6,5.8,8796.933,0.649
2024-01-01 08:00:00,-1.64,624.6,5.3,9346.147,0.643
2024-01-01 08:15:00,-0.27,697.6,4.5,9594.909,0.644
2024-01-01 08:30:00,0.02,725.4,3.6,9786.323,0.634
2024-01-01 08:45:00,-0.86,809.4,2.8,10046.478,0.642
2024-01-01 09:00:00,0.01,884.5,2.1,10857.771,0.644
2024-01-01 09:15:00,1.71,885.8,3.0,11283.101,0.783
2024-01-01 09:30:00,1.29,885.1,4.0,11314.795,0.922
2024-01-01 09:45:00,1.51,829.3,4.9,11764.107,1.049
2024-01-01 10:00:00,2.46,863.3,5.9,12300.276,1.195
2024-01-01 10:15:00,2.3,947.2,5.2,13354.251,1.206
2024-01-01 10:30:00,1.67,1062.0,5.7,15488.501,1.196
2024-01-01 10:45:00,0.48,1124.6,5.1,16029.462,1.182
2024-01-01 11:00:00,0.84,1209.2,5.1,17118.786,1.22
2024-01-01 11:15:00,2.33,1087.9,4.8,18252.451,1.208
2024-01-01 11:30:00,3.49,1169.1,4.4,18058.122,1.22
2024-01-01 11:45:00,6.15,990.8,4.3,18124.289,1.216
2024-01-01 12:00:00,7.08,660.0,4.2,18155.317,1.181
2024-01-01 12:15:00,6.72,608.0,5.6,17952.447,1.178
2024-01-01 12:30:00,6.2,652.0,7.0,18112.614,1.222
2024-01-01 12:45:00,6.57,689.5,8.2,17495.613,1.201
2024-01-01 13:00:00,7.21,672.5,9.5,17309.809,1.183
2024-01-01 13:15:00,7.46,654.3,7.9,17010.935,1.205
2024-01-01 13:30:00,7.4,646.3,5.9,16506.504,1.196
2024-01-01 13:45:00,7.78,581.0,3.9,15557.373,1.213
2024-01-01 14:00:00,8.02,495.9,2.2,14538.599,1.22
2024-01-01 14:15:00,7.82,534.0,3.0,15361.947,1.067
2024-01-01 14:30:00,7.42,508.5,3.4,14722.644,0.938
2024-01-01 14:45:00,8.5,553.8,4.0,14407.572,0.78
2024-01-01 15:00:00,7.7,550.6,4.7,14378.869,0.636
2024-01-01 15:15:00,7.24,411.0,4.7,13860.465,0.628
2024-01-01 15:30:00,6.9,288.6,4.3,12582.254,0.649
2024-01-01 15:45:00,5.9,184.6,4.1,12889.461,0.652
2024-01-01 16:00:00,4.66,77.5,3.8,12242.053,0.654
2024-01-01 16:15:00,4.56,134.1,4.5,11467.675,0.648
2024-01-01 16:30:00,5.92,177.5,4.9,10821.127,0.657
2024-01-01 16:45:00,6.03,207.5,5.9,10389.69,0.65
2024-01-01 17:00:00,5.13,241.6,6.7,10207.552,0.639
2024-01-01 17:15:00,4.34,229.8,7.7,9305.809,0.787
2024-01-01 17:30:00,4.63,178.2,8.5,8683.861,0.928
2024-01-01 17:45:00,4.3,171.2,9.8,7862.732,1.079
2024-01-01 18:00:00,3.74,125.0,10.9,7462.364,1.208
2024-01-01 18:15:00,4.97,231.3,9.4,8203.238,1.213
2024-01-01 18:30:00,4.75,153.8,7.1,8499.205,1.211
2024-01-01 18:45:00,5.91,80.0,5.8,9657.524,1.208
2024-01-01 19:00:00,5.46,0.0,3.9,9945.552,1.19
2024-01-01 19:15:00,3.75,0.0,4.5,10193.777,1.171
2024-01-01 19:30:00,3.43,0.0,4.2,10471.593,1.2
2024-01-01 19:45:00,2.9,0.0,4.3,10739.333,1.193
2024-01-01 20:00:00,2.24,0.0,4.5,11224.93,1.207
2024-01-01 20:15:00,1.39,0.0,5.5,11210.698,1.066
2024-01-01 20:30:00,0.78,0.0,7.1,11474.283,0.911
2024-01-01 20:45:00,0.39,0.0,8.0,11270.838,0.783
2024-01-01 21:00:00,-1.27,0.0,9.4,11257.388,0.661
2024-01-01 21:15:00,-0.26,0.0,8.8,10997.219,0.66
2024-01-01 21:30:00,-1.26,0.0,8.1,9755.931,0.658
2024-01-01 21:45:00,1.21,0.0,7.7,9204.085,0.65
2024-01-01 22:00:00,0.97,0.0,6.8,8536.558,0.648
2024-01-01 22:15:00,1.06,0.0,8.3,8454.471,0.557
2024-01-01 22:30:00,0.85,0.0,9.1,8402.619,0.476
2024-01-01 22:45:00,1.09,0.0,10.0,8223.121,0.381
2024-01-01 23:00:00,0.66,0.0,11.0,8100.757,0.29
2024-01-01 23:15:00,0.48,0.0,8.9,8539.327,0.294
2024-01-01 23:30:00,-0.17,0.0,6.5,8711.992,0.294
2024-01-01 23:45:00,-0.8,0.0,4.4,8694.461,0.302
2024-01-02 00:00:00,-1.41,0.0,2.2,8676.369,0.303
2024-01-02 00:15:00,-1.63,0.0,4.4,8833.506,0.303
2024-01-02 00:30:00,0.1,0.0,6.4,8883.539,0.302
2024-01-02 00:45:00,-1.88,0.0,8.7,9225.757,0.298
2024-01-02 01:00:00,-0.52,0.0,11.1,9359.197,0.297
2024-01-02 01:15:00,-2.98,0.0,10.0,9560.06,0.297
2024-01-02 01:30:00,-4.3,0.0,8.5,9833.469,0.299
2024-01-02 01:45:00,-4.76,0.0,7.7,10605.081,0.294
2024-01-02 02:00:00,-6.49,0.0,7.0,10658.763,0.298
2024-01-02 02:15:00,-7.73,0.0,6.7,10921.123,0.303
2024-01-02 02:30:00,-6.93,0.0,6.6,11781.1,0.3
2024-01-02 02:45:00,-7.15,0.0,6.5,12453.623,0.302
2024-01-02 03:00:00,-9.27,0.0,6.6,13248.925,0.297
2024-01-02 03:15:00,-7.94,0.0,5.7,13294.19,0.298
2024-01-02 03:30:00,-6.29,0.0,4.2,12793.892,0.3
2024-01-02 03:45:00,-5.48,0.0,3.1,12915.365,0.299
2024-01-02 04:00:00,-4.51,0.0,1.7,13132.92,0.299
2024-01-02 04:15:00,-3.97,0.0,2.3,12310.622,0.299
