time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20130101:0000,-9.46,50.55,0,0,0,185.6,1.48,233,83010
20130101:0100,-9.17,47.89,171.9,1030.11,54.95,183.88,1.48,226,83030
20130101:0200,-8.88,45.24,334.55,965.01,76.45,182.17,1.48,220,83060
20130101:0300,-8.59,42.58,459,959,87.9,180.45,1.48,200,83060
20130101:0400,-8.3,39.92,527.3,935.63,93.25,178.73,1.47,70,83010
20130101:0500,-8.01,37.26,532.15,889.57,93.55,177.02,1.47,52,82940
20130101:0600,-7.72,34.61,473.05,813,89,175.3,1.47,50,82850
20130101:0700,-7.43,31.95,356.55,689.61,78.4,173.58,1.47,34,82800
20130101:0800,-4.85,29.1,197.8,477.94,58.9,179.6,3.45,32,82860
20130101:0900,-5.56,31.55,40.85,154.69,18.9,179.2,3.52,29,82920
20130101:1000,-6.78,32.7,0,0,0,177.25,2.9,25,83030
20130101:1100,-7.89,33.9,0,0,0,176.3,2.76,25,83120
20130101:1200,-8.85,35.15,0,0,0,173.95,2.62,26,83200
20130101:1300,-9.83,35,0,0,0,172.6,2.48,27,83270
20130101:1400,-10.8,36.35,0,0,0,170.85,2.14,26,83340
20130101:1500,-11.81,39.5,0,0,0,169.7,1.66,18,83380
20130101:1600,-12.81,41.1,0,0,0,168.55,1.45,14,83430
20130101:1700,-13.63,42.85,0,0,0,167.75,1.52,22,83460
20130101:1800,-14.23,46.7,0,0,0,167,1.72,37,83480
20130101:1900,-14.39,44.55,0,0,0,168.15,2.48,57,83460
20130101:2000,-14.95,46.55,0,0,0,166.4,2.62,59,83520
20130101:2100,-15.56,48.6,0,0,0,164.85,2.76,60,83530
20130101:2200,-16.14,48.45,0,0,0,163.15,2.76,60,83560
20130101:2300,-16.67,52.85,0,0,0,161.6,2.55,54,83680
20130102:0000,-17.16,52.85,0,0,0,163.15,2.34,51,83790
20130102:0100,-17.17,50.45,161,851.4,64.5,163.65,2,49,83930
20130102:0200,-15.87,46.25,314.25,802.92,99.4,166.8,2.41,55,84060
20130102:0300,-14.5,40.6,432.8,799.82,122.9,167.6,2.97,63,84120
20130102:0400,-13.16,37.3,496.2,757.11,144.3,170.85,3.03,64,84160
20130102:0500,-12.07,32.85,486.7,644.23,168.25,173.4,3.17,61,84150
20130102:0600,-11.23,31.5,407.95,467.07,186.55,179.6,3.52,57,84140
20130102:0700,-11.56,31.5,283.05,269.2,173.95,184.05,3.52,52,84190
20130102:0800,-11.6,30.05,159.55,182.73,106.05,189.05,3.17,49,84290
20130102:0900,-11.95,31.35,32.4,26.35,28.6,189.85,2.76,45,84360
20130102:1000,-12.47,31.2,0,0,0,187.15,2.14,42,84450
20130102:1100,-12.94,32.55,0,0,0,184.05,1.45,37,84530
20130102:1200,-13.25,33.95,0,0,0,195.65,1.1,35,84560
20130102:1300,-13.75,35.45,0,0,0,187.3,0.83,44,84560
20130102:1400,-14.26,37,0,0,0,183.05,0.69,77,84540
20130102:1500,-14.71,38.6,0,0,0,184.6,0.69,102,84510
